incident,location,building,reported,occurred,comments,disposition,ucpdi#,start,end,in_jurisdiction,information,assist_other_agency,non_criminal,attempted,warrant,armed,aggravated,domestic,cpd_case_id,arrest,lat,lon
stalking,6031 s. ellis,granville-grossman rh,2018-11-08T15:55:00Z,10/1/18 unknown times,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report    18-050,2018-10-01T00:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
harassment,5801 s. ellis,levi hall,2018-11-08T13:00:00Z,11/1/18 to 11/3/18 12:01 AM to 12:00 AM,Information relating to harassing emails,Open,18-01117,2018-11-01T00:01:00Z,2018-11-03T00:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7895805,-87.6009332
theft,915 e. 60th st.,logan center bike rack,2018-11-08T16:54:00Z,11/8/18 9:00 AM to 2:00 PM,Front tire taken from bike secured to bike rack,Open,18-01118,2018-11-08T09:00:00Z,2018-11-08T14:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7854503,-87.603927
liquor law violation,5500 s. university,campus north rh,2018-11-09T01:25:00Z,11/9/18 1:25 AM,An underage individual became ill after consuming alcoholic beverages / Treated by CFD EMS,Referred,18-01119,2018-11-09T01:25:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7946083,-87.5983715
found property,850 e. 61st st.,ucpd hq,2018-11-09T13:00:00Z,11/9/18 1:00 PM,A set of keys was turned over to UCPD for safekeeping,Closed,18-01120,2018-11-09T13:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846236,-87.6048885
disturbance,54th pl. between blackstone & harper,NA,2018-11-09T13:56:00Z,9/27/18 2:00 AM to 2:20 AM,Disturbance between roommates documented,Closed,18-01121,2018-09-27T02:00:00Z,2018-09-27T02:20:00Z,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79657415,-87.58970265
weapon violation,850 e. 61st st.,ucpd hq,2018-11-09T15:10:00Z,11/9/18 3:10 PM,Concealed-carry license violation,Referred,18-01122,2018-11-09T15:10:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846236,-87.6048885
burglary,6031 s. ellis,granville-grossman rh,2018-11-09T14:52:00Z,11/9/18 7:35 AM to 7:45 AM,Unknown person entered unsecured room in residence hall and took a laptop computer,Open,18-01123,2018-11-09T07:35:00Z,2018-11-09T07:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
mental health transport,1162 e. 53rd st.,public way,2018-11-09T23:52:00Z,11/9/18 11:52 PM,Individual transported to UCMED for evaluation,Closed,18-01126,2018-11-09T23:52:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.799682,-87.597244
liquor law violation,1414 e. 59th st.,i-house,2018-11-10T00:21:00Z,11/10/18 12:21 AM,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Referred,18-01124,2018-11-10T00:21:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7882466,-87.5909896
robbery,kimbark between 61st & 62nd,NA,2018-11-10T01:22:00Z,11/10/18 12:00 AM,"Two unknown suspects, armed with handguns, took iPhone and car keys from a victim in a residential hallway off campus / Suspects fled in victim's 2005 Buick / CPD case JB510469",CPD Involved,18-01125,2018-11-10T00:00:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,JB510469,FALSE,41.78324815,-87.59471155
medical call,1027 e. hyde park,public way,2018-11-10T03:11:00Z,11/10/18 3:11 AM,Sick person transported to UCMED by CFD EMS for evaluation and treatment,Closed,18-01128,2018-11-10T03:11:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8020519,-87.6001039
battery,5130 s. lake park,NA,2018-11-10T13:30:00Z,11/10/18 1:20 PM,UCPD officers arrested a suspect for striking a victim with a bottle at a gas station off campus,Arrest,18-01129,2018-11-10T13:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.8012268,-87.5880058
theft,1346 e. 53rd st.,public way,2018-11-12T10:29:00Z,11/11/18 to 11/12/18 3:30 PM to 8:00 AM,Secured bicycle taken from off campus bike rack / Referred to CPD,Referred,18-01130,2018-11-11T15:30:00Z,2018-11-12T08:00:00Z,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7996491,-87.5934847
theft,5758 s. maryland,dcam caf�,2018-11-12T11:52:00Z,11/12/18 11:30 AM,"Unknown suspect, seeking donation, distracted victim and took a cell phone from the table top in caf�",Open,18-01131,2018-11-12T11:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7902993,-87.6055693
found narcotics,5700 s. maryland,ccd,2018-11-12T12:47:00Z,11/12/18 12:45 PM,A staff member found a small baggie of marijuana in patient's room / Substance inventoried by UCPD for proper disposal,Closed,18-01132,2018-11-12T12:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7912122,-87.6050541
theft,6031 s. ellis,granville-grossman rh,2018-11-12T16:36:00Z,10/18/18 to 11/12/18 12:00 PM to 4:30 PM,Two parcels delivered to front desk of residence hall taken by unknown person,Open,18-01133,2018-10-18T12:00:00Z,2018-11-12T16:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
theft,5517 s. blackstone,public way,2018-11-12T19:53:00Z,11/12/18 7:40 PM,Two unknown subjects took property from a victim walking on the sidewalk off campus / CPD case JB513696,CPD Involved,18-01134,2018-11-12T19:40:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,JB513696,FALSE,41.7946081,-87.590033
theft,5420 s. lake park,retail establishment,2018-11-13T11:30:00Z,11/13/18 11:25 AM,Suspect grabbed victim's cell phone that was placed on top of a copy machine and ran from the store / Responding UCPD officer located and took the suspect into custody / Victim's phone recovered,Arrest,18-01135,2018-11-13T11:25:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7976972,-87.5877077
theft,5828 s. university,pick hall,2018-11-13T14:10:00Z,11/12/18 5:10 PM,Unknown suspect took three bottles of alcoholic beverages from a cabinet in 5th floor room,Open,18-01136,2018-11-12T17:10:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7889561,-87.5982904
theft,946 e. midway pl.,public way,2018-11-13T21:46:00Z,11/13/18 2:45 PM to 9:45 PM,Unknown person(s) punched door lock and removed the audio system from a car parked at the curb,Open,18-01137,2018-11-13T14:45:00Z,2018-11-13T21:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8781136,-87.6297982
traffic accident,5303 s. ellis,NA,2018-11-14T09:22:00Z,11/14/18 9:20 AM,UC owned vehicle involved in minor property damage accident / No injuries reported / 2018-MVA00250,Closed,18-01138,2018-11-14T09:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7991938,-87.6010384
found property,1541 e. hyde park,metra station,2018-11-14T15:36:00Z,11/14/18 3:36 PM,A set of keys attached to a UC lanyard found at Metra station and turned over to UCPD for safekeeping,Closed,18-01139,2018-11-14T15:36:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8019656,-87.5874484
sex crime,751 e. 61st st.,public way,2018-11-14T16:02:00Z,11/14/18 3:50 PM,Unknown suspect fondled a victim walking on the sidewalk off campus and fled to a waiting vehicle that drove off / CPD case JB515910,CPD Involved,18-01140,2018-11-14T15:50:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,JB515910,FALSE,41.7838405,-87.6064564
lost property,unknown,uc campus,2018-11-14T19:33:00Z,11/13/18 5:30 PM to 11:35 PM,Individual lost iPhone at some unknown location as they walked around campus,Closed,18-01141,2018-11-13T17:30:00Z,2018-11-13T23:35:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8781136,-87.6297982
lost property,5700 s. maryland,ccd,2018-11-15T12:21:00Z,11/15/18 11:55 AM to 12:10 PM,Individual reports losing cell phone while in the building,Closed,18-01142,2018-11-15T11:55:00Z,2018-11-15T12:10:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7912122,-87.6050541
theft,920 e. 58th st.,cummings,2018-11-15T17:37:00Z,11/15/18 9:30 AM to 5:30 PM,Secured bicycle taken from bike rack,Open,18-01143,2018-11-15T09:30:00Z,2018-11-15T17:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.789865,-87.6027639
robbery,1359 e. 58th st.,public way,2018-11-15T22:54:00Z,11/15/18 10:50 PM,"Ex-boyfriend forcibly took cell phone from victim while on the sidewalk / Suspect fled before police were called / As a result of a follow-up investigation, victim declined to prosecute the known suspect",Exceptionally Cleared,18-01144,2018-11-15T22:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.789648,-87.5926041
NA,5701 s. harper,public way,2018-11-15T23:08:00Z,11/15/18 11:08 PM,UCPD officers arrested a subject wanted on a warrant by IL. Dept. of Corrections for violation of parole,Arrest,18-01145,2018-11-15T23:08:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,41.7914723,-87.5889008
damage to property,6000 s. stony island,parking lot,2018-11-16T08:55:00Z,11/6/18 8:15 AM to 6:00 PM,Delayed Report / Car door frame dented and scratched,Open,18-01146,2018-11-06T08:15:00Z,2018-11-06T18:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7857879,-87.586997
NA,1313 e. 62nd st.,NA,2018-11-17T12:31:00Z,11/17/18 12:31 PM,"UCPD officer recovered an unoccupied, vehicle that had been reported stolen to CPD",CPD Involved,18-01147,2018-11-17T12:31:00Z,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7821841,-87.5942284
medical call,6031 s. ellis,granville-grossman rh,2018-11-17T17:33:00Z,11/17/18 5:33 PM,Sick person transported by CFD EMS to UCMED for evaluation and treatment,Closed,18-01148,2018-11-17T17:33:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
traffic accident,5550 s. shore dr.,NA,2018-11-17T21:58:00Z,11/17/18 9:58 PM,UC owned vehicle involved in minor property damage accident / No injuries reported / 2018-MVA00256,Closed,18-01149,2018-11-17T21:58:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7937113,-87.5811683
liquor law violation,1009 e. 57th st.,snell-hitchcock rh,2018-11-18T03:50:00Z,11/18/18 3:50 AM,Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for treatment,Referred,18-01150,2018-11-18T03:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7910784,-87.6005453
damage to property,329 e. garfield,performing arts center,2018-11-18T14:52:00Z,11/18/18 2:20 AM,Unknown person(s) threw a brick shattering front glass door in off campus UC building / CPD case JB520741,CPD Involved,18-01151,2018-11-18T02:20:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,JB520741,FALSE,41.7941558,-87.6179628
liquor law violation,5500 s. university,campus north rh,2018-11-19T02:59:00Z,11/19/18 2:59 AM,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Referred,18-01152,2018-11-19T02:59:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7946083,-87.5983715
mental health transport,5555 s. woodlawn,student counseling services,2018-11-19T11:26:00Z,11/19/18 11:26 AM,Individual transported to UCMED for evaluation,Closed,18-01153,2018-11-19T11:26:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7935145,-87.5960684
theft,970 e. 58th st.,bookstore,2018-11-19T11:22:00Z,10/31/18 to 11/14/18 3:10 PM to 4:45 PM,Theft investigation,Open,18-01154,2018-10-31T15:10:00Z,2018-11-14T16:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7897352,-87.6015376
lost property,950 e. 59th st.,peck pavilion,2018-11-19T12:17:00Z,11/8/18 to 11/16/18 12:00 PM to 1:00 PM,Laptop computer missing,Closed,18-01155,2018-11-08T12:00:00Z,2018-11-16T13:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7878636,-87.6021173
assault,5500 s. university,campus north rh,2018-11-19T13:52:00Z,11/17/18  time unknown,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report    18-051,2018-11-17T00:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7946083,-87.5983715
traffic accident,5815 s. maryland,mitchell hospital,2018-11-20T10:03:00Z,11/20/18 10:03 AM,Motorist struck light pole and shattered two glass panels in lobby / Motorist escorted to UCMED for examination and treatment of injuries,Closed,18-01156,2018-11-20T10:03:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
theft,970 e. 58th st.,bookstore loading dock,2018-11-20T13:41:00Z,11/7/18 to 11/9/18 9:35 AM to 3:00 PM,A video monitor was taken from a box on the loading dock,Open,18-01157,2018-11-07T09:35:00Z,2018-11-09T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7897352,-87.6015376
NA,5235 s. harper,12th floor,2018-11-20T12:26:00Z,11/20/18 12:26 PM,"Staff members reported receipt of suspicious packages / CPD, CFD and FBI notified and responded / CPD case JB522885",CPD Involved,18-01158,2018-11-20T12:26:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,JB522885,FALSE,41.7999127,-87.5880183
liquor law violation,6031 s. ellis,granville-grossman rh,2018-11-20T23:29:00Z,11/21/18 11:29 PM,Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Referred,18-01159,2018-11-21T23:29:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
damage to vehicle,6000 s. stony island,parking lot,2018-11-21T07:58:00Z,11/20/18 to 11/21/18 8:00 PM to 12:45 AM,Unknown person shattered driver's side rear window in parked vehicle,Open,18-01160,2018-11-20T20:00:00Z,2018-11-21T00:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7857879,-87.586997
assault,5721 s. maryland,comer hospital,2018-11-21T11:12:00Z,11/20/18 8:50 AM,Girlfriend (patient) threw water on boyfriend during the course of an argument / Prosecution declined,Exceptionally Cleared,18-01161,2018-11-20T08:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,41.7901847,-87.6045849
mental health transport,5555 s. woodlawn,student counseling,2018-11-21T11:55:00Z,11/21/18 at 11:55 AM,Individual transported to UCMED for evaluation,Closed,18-01162,2018-11-21T11:55:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7935145,-87.5960684
lostfound property,850 e. 61st st.,ucpd hq,2018-11-21T15:22:00Z,6/28/18 to 11/21/18 unknown time,"A bag of equipment was reported missing, but located on 11/21/18",Closed,18-01163,2018-06-28T00:00:00Z,2018-11-21T00:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846236,-87.6048885
theft,5530 s. ellis,ratner bike rack,2018-11-21T16:54:00Z,11/21/18  4:40 PM to 4:50 PM,Rear wheel taken from bicycle secured to bike rack,Open,18-01164,2018-11-21T16:40:00Z,2018-11-21T16:50:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7940762,-87.6017077
theft,5815 s. maryland,mitchell hospital,2018-11-22T09:23:00Z,11/20/18 5:00 AM to 5:15 AM,Unsecured wallet taken from patient's room,Open,18-01165,2018-11-20T05:00:00Z,2018-11-20T05:15:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
assault,5700 s. maryland,ccd,2018-11-22T10:54:00Z,11/19/18 11:00 AM,Delayed report of assault under investigation,Open,18-01166,2018-11-19T11:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7912122,-87.6050541
found property,5815 s. maryland,mitchell hospital,2018-11-22T18:46:00Z,11/22/18 6:46 PM,Staff member found a replica firearm in patient's room / Property confiscated and inventoried at UCPD for disposal,Closed,18-01167,2018-11-22T18:46:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
damage to vehicle,850 e. 56th st.,NA,2018-11-23T07:31:00Z,11/22/18 to 11/23/18 7:00 PM to 7:30 AM,Unknown person(s) smashed window of vehicle parked on the street,Open,18-01169,2018-11-22T19:00:00Z,2018-11-23T07:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7933768,-87.6051629
lost property,57th & drexel,public way,2018-11-23T11:30:00Z,11/23/18 10:15 AM to 11:25 AM,Individual lost wallet in the area of 57th & Drexel,Closed,18-01170,2018-11-23T10:15:00Z,2018-11-23T11:25:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7913587,-87.6037279
NA,1155 e. 52nd st.,public way,2018-11-23T20:16:00Z,11/23/18 8:16 PM,UCPD officers detained an individual attempting to remove a city of Chicago boot from a parked vehicle / Suspect arrested by CPD officers / CPD case JB526686,CPD Involved,18-01171,2018-11-23T20:16:00Z,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,JB526686,FALSE,41.8006853,-87.5978172
robbery,lake park between 52nd & 53rd,NA,2018-11-24T16:30:00Z,11/24/18 4:05 PM,"Two unknown suspects grabbed merchandise and were fleeing the off campus store without paying / When store employee tried to intervene, suspect implied a weapon - none seen - and fled the store to a waiting vehicle / CPD case JB527528",CPD Involved,18-01172,2018-11-24T16:05:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,JB527528,FALSE,41.80027825,-87.58744475
robbery,5401 s. university,public way,2018-11-24T19:05:00Z,11/24/18 7:00 PM,"Two unknown subjects, implying a weapon - no weapon seen - took a cell phone and cash from a victim walking on the sidewalk off campus / CPD case JB527712",CPD Involved,18-01173,2018-11-24T19:00:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,JB527712,FALSE,41.7979362,-87.5981386
robbery,1415 e. 52nd st.,public way,2018-11-24T21:58:00Z,11/24/18 2:00 PM,Delayed Report - Two unknown subjects forcibly took cash from a victim walking on the sidewalk off campus before fleeing on foot / Referred to CPD,CPD Involved,18-01174,2018-11-24T14:00:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.800752,-87.591173
trespassing,5656 s. maryland,ucmed,2018-11-25T07:16:00Z,11/25/18 7:16 AM,An unauthorized individual refused repeated commands to leave the UC Emergency Department / Subject detained by UCM Public Safety officers and arrested by UCPD officers,Arrest,18-01175,2018-11-25T07:16:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7919752,-87.6055129
theft,929 e. 57th st.,gordon center,2018-11-25T12:53:00Z,11/23/18 1:30 PM to 8:30 PM,"Unattended, unsecured wallet left on desk top in unsecured office was taken by unknown person",Open,18-01176,2018-11-23T13:30:00Z,2018-11-23T20:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7911305,-87.6027488
injured person,6300 s. university,woodlawn charter school,2018-11-26T08:21:00Z,11/26/18 8:20 AM,"As a student was entering the gym, another student exiting, pushed the door accidently striking the victim on the forehead / Taken to Comer Hospital for evaluation and treatment",Closed,18-01177,2018-11-26T08:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7804242,-87.5972999
lost property,5900 s. payne dr. to 5758 s. maryland,NA,2018-11-26T10:51:00Z,11/26/18 7:50 AM to 7:55 AM,An individual lost a set of keys while walking from car to hospital,Closed,18-01178,2018-11-26T07:50:00Z,2018-11-26T07:55:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79256995,-87.6065051
NA,5807 s. woodlawn,booth school,2018-11-26T10:20:00Z,11/12/18 9:00 AM,A staff member reported seeing a person who was banned from campus attending an open class,Closed,18-01179,2018-11-12T09:00:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7891387,-87.5954555
found property,1116 e. 59th st.,harper library,2018-11-26T16:12:00Z,11/26/18 4:12 PM,A person found a set of 7 keys attached to a UC key ring in room 172 / Keys turned over to UCPD for safekeeping,Closed,18-01180,2018-11-26T16:12:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7879664,-87.5995364
threat,5721 s. maryland,comer hospital,2018-11-27T09:01:00Z,11/27/18 8:55 AM,Staff member received a threatening phone call from an unknown person,Open,18-01181,2018-11-27T08:55:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7901847,-87.6045849
robbery,4715 s. ingleside,NA,2018-11-27T12:06:00Z,11/27/18 12:05 PM,A taxi driver was dropping off two fares when one suspect implied he had a weapon - no weapon seen - and demanded property / Suspects fled on foot / Victim's property recovered / CPD case JB353613,CPD Involved,18-01182,2018-11-27T12:05:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,JB353613,FALSE,41.809118,-87.6025
found property,850 e. 61st st.,ucpd hq,2018-11-27T08:50:00Z,11/27/18 8:50 AM,First Transit staff member dropped off wallet found on UChicago Shuttle bus / Inventoried at UCPD for safekeeping,Closed,18-01183,2018-11-27T08:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846236,-87.6048885
found property,850 e. 61st st.,ucpd hq,2018-11-28T12:55:00Z,11/28/18 12:55 PM,First Transit employee turned over a Northwestern Med. ID card found on UC Shuttle bus / Inventoried for safekeeping,Closed,18-01184,2018-11-28T12:55:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846236,-87.6048885
driving under the influence,1208 e. 53rd st.,NA,2018-11-28T23:42:00Z,11/28/18 11:42 PM,UCPD officer arrested a motorist for DUI at off campus location,Arrest,18-01185,2018-11-28T23:42:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.8000542,-87.5960602
liquor law violation,5709 s. ellis,snell-hitchcock rh,2018-11-29T02:11:00Z,11/29/18 2:11 AM,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Referred,18-01186,2018-11-29T02:11:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79109,-87.60097
theft,5530 s. ellis,ratner a.c.,2018-11-29T09:55:00Z,11/29/18 9:10 AM to 9:30 AM,Coat taken from unsecured locker in women's locker room,Open,18-01187,2018-11-29T09:10:00Z,2018-11-29T09:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7940762,-87.6017077
traffic accident,6454 s. cottage grove,NA,2018-11-29T14:03:00Z,11/29/18 2:03 PM,UC owned vehicle involved in minor property damage accident / No injuries reported,Closed,18-01188,2018-11-29T14:03:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7769641,-87.606124
theft,5550 s. university,crown field house bike rack,2018-11-30T10:16:00Z,11/29/18 to 11/30/18  9:00 PM to 9:30 AM,Secured bicycle taken from bike rack,Open,18-01189,2018-11-29T21:00:00Z,2018-11-30T09:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7935818,-87.5989697
theft,924 e. 57th st.,bslc bike rack,2018-11-30T17:43:00Z,11/30/18 1:30 PM to 4:30 PM,Secured bicycle taken from bike rack,Open,18-01191,2018-11-30T13:30:00Z,2018-11-30T16:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791942,-87.602839
theft,1100 e. 57th st.,regenstein library,2018-11-30T21:02:00Z,11/30/18 8:20 PM to 8:55 PM,"Unattended, unsecured laptop taken from 4th floor cubicle",Open,18-01192,2018-11-30T20:20:00Z,2018-11-30T20:55:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.792279,-87.599954
injured person,929 e. 57th st.,NA,2018-12-01T13:28:00Z,12/1/18 1:25 PM,Individual fell from motorized skate board and injured right leg / Transported to UCMED for evaluation and treatment,Closed,18-01193,2018-12-01T13:25:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7911305,-87.6027488
